#{"t_start": 1761574197.8019698, "env_id": "None"}
r,l,t
879.2487,1000,2643.118828
312.3338,1000,2643.605161
873.4248,1000,2645.426839
446.02878,1000,2655.770014
311.4078,1000,2655.787608
516.17084,1000,2656.12053
60.58531,1000,2656.745442
401.6905,1000,2656.745488
916.60455,834,2669.181499
-16.66628,1000,2670.598687
-2.140318,1000,2673.167012
478.94318,1000,2682.39532
513.1466,1000,2682.417986
77.77914,1000,2682.819797
76.244804,1000,2683.400594
433.7807,1000,2683.400666
870.302,1000,2698.022123
855.2327,1000,2699.39191
287.89597,1000,2701.894341
15.524429,1000,2711.043121
70.64954,1000,2711.062433
224.41025,1000,2711.51568
317.5786,1000,2712.022112
889.5165,1000,2712.022166
305.65652,1000,2794.192594
731.6879,1000,2795.497117
885.7222,1000,2797.550469
257.57208,1000,2806.931465
681.04755,1000,2806.949232
413.19257,1000,2807.397024
410.13208,1000,2807.864647
53.062508,1000,2807.864693
212.28827,1000,2821.213343
165.22852,1000,2822.492969
307.76355,1000,2825.980561
724.17816,1000,2828.682431
544.6039,1000,2828.716935
864.8504,1000,2835.484448
831.7444,1000,2836.067219
629.53656,1000,2836.067284
339.7128,1000,2848.478855
255.86765,1000,2849.705468
856.8721,1000,2851.602253
784.06055,1000,2853.711235
612.90906,1000,2853.738307
248.09744,1000,2862.962159
252.48587,1000,2863.451988
515.8968,1000,2863.452041
254.30075,1000,2876.620111
336.16693,1000,2938.701192
534.15485,1000,2942.859384
286.7596,1000,2946.356466
666.7917,1000,2946.402696
878.4245,1000,2947.214983
523.37476,1000,2954.250348
369.74667,1000,2954.250401
224.13469,1000,2961.906108
908.2063,918,2968.950078
-17.197142,1000,2971.615187
578.2342,1000,2973.664992
290.10574,1000,2973.693225
664.2665,1000,2974.137716
850.00507,1000,2974.676811
895.92474,1000,2974.676881
225.72879,1000,2987.536549
856.5267,1000,2997.156157
188.72823,1000,2999.972554
215.9679,1000,3001.953982
324.80737,1000,3001.985514
404.26935,1000,3002.618437
587.2907,1000,3003.721016
270.22635,1000,3003.721067
549.8291,1000,3016.684738
170.96362,1000,3017.63747
811.6675,1000,3072.26615
41.305607,1000,3073.744437
227.75464,1000,3073.762709
399.99716,1000,3074.111657
511.292,1000,3074.775908
303.44403,1000,3074.775959
363.8517,1000,3086.649377
896.7296,1000,3087.347016
85.963806,1000,3098.716032
219.2143,1000,3100.250561
825.80334,1000,3100.269771
360.31653,1000,3100.712699
84.81758,1000,3101.62312
234.47852,1000,3101.623174
888.0587,1000,3114.066656
733.91864,1000,3114.720555
907.708,923,3124.384598
903.40857,966,3128.450155
517.6581,1000,3128.468445
-20.138443,1000,3128.488039
411.32428,1000,3129.69037
877.1912,1000,3129.690424
681.15674,1000,3142.927698
860.5831,1000,3143.581164
465.06375,1000,3152.902817
60.449036,1000,3214.189025
875.097,1000,3214.213501
813.91113,1000,3214.239171
643.1523,1000,3215.668361
50.998413,1000,3215.668414
468.83887,1000,3230.617099
823.3587,1000,3231.183003
179.21886,1000,3240.978023
703.7797,1000,3243.342507
678.88495,1000,3243.361289
448.1686,1000,3243.380226
883.06146,1000,3244.239785
420.40405,1000,3244.239832
55.477783,1000,3256.971439
920.7029,793,3257.138575
538.16797,1000,3257.421283
0.35924,1000,3271.111821
873.1589,1000,3271.128758
865.4072,1000,3271.146401
857.3668,1000,3271.953637
659.32697,1000,3271.953698
398.3021,1000,3284.741251
52.543297,1000,3284.926741
494.98083,1000,3285.245126
921.50604,785,3295.33712
921.40656,786,3295.380088
920.40186,796,3295.488803
893.24817,1000,3346.429875
-13.533317,1000,3346.429933
370.40176,1000,3360.364429
380.83167,1000,3360.539078
666.5626,1000,3360.850305
903.0043,970,3365.46513
622.3896,1000,3372.690061
881.5562,1000,3372.788477
921.7055,783,3373.612794
904.6041,954,3375.455107
889.05676,1000,3390.512599
670.2794,1000,3390.717138
728.8598,1000,3391.059215
631.00006,1000,3394.175723
259.21927,1000,3394.960392
533.3402,1000,3395.152968
884.191,1000,3404.469947
852.7086,1000,3406.525414
906.40814,936,3419.820682
-56.521492,1000,3420.474496
161.74098,1000,3421.02277
449.29053,1000,3423.863691
