#{"t_start": 1762125823.7073977, "env_id": "None"}
r,l,t
889.4112,1000,3463.523403
310.82397,1000,3469.473202
909.304,907,3510.520516
928.4052,716,3537.470485
914.3028,857,3537.526269
649.12775,1000,3538.151641
894.0581,1000,3538.425172
927.3,727,3540.113028
882.5246,1000,3540.448435
886.5433,1000,3540.691456
865.8802,1000,3541.068782
925.3046,747,3541.769777
917.89954,821,3542.961631
770.77875,1000,3543.292525
879.31775,1000,3543.581309
912.4037,876,3543.865506
876.51556,1000,3544.692972
923.705,763,3546.336945
879.0285,1000,3546.488724
609.26294,1000,3547.161165
848.81134,1000,3548.231714
780.29144,1000,3575.651779
884.28595,1000,3575.806047
850.6257,1000,3577.44325
923.0061,770,3577.680773
922.1059,779,3578.09129
918.30554,817,3579.834856
878.955,1000,3580.121672
368.08112,1000,3580.454605
525.8858,1000,3581.645153
871.7064,1000,3582.265185
299.3467,1000,3582.55122
890.1734,1000,3583.478981
643.7333,1000,3615.560844
398.3561,1000,3615.980873
877.86707,1000,3615.980973
879.02814,1000,3615.980984
849.1632,1000,3615.98099
893.06055,1000,3615.980996
875.0841,1000,3615.981
871.93677,1000,3657.634822
929.0999,709,3689.689739
887.3871,1000,3690.772189
916.2002,838,3692.188808
921.606,784,3692.38386
290.2398,1000,3695.751538
852.9054,1000,3696.297059
890.4541,1000,3696.355458
769.4146,1000,3696.991683
848.133,1000,3723.62324
412.63028,1000,3725.373397
883.61584,1000,3725.754677
502.36783,1000,3725.981936
882.7093,1000,3727.069627
880.95795,1000,3728.239465
914.20636,858,3728.299248
893.1566,1000,3728.540444
889.2584,1000,3728.837711
913.40643,866,3768.405843
896.6804,1000,3769.277955
921.905,781,3769.381572
888.9379,1000,3769.435759
745.27625,1000,3770.111142
723.537,1000,3771.182929
911.3037,887,3771.715704
915.10516,849,3771.774494
371.14993,1000,3772.976537
909.1045,909,3773.083846
875.08307,1000,3801.72835
887.18365,1000,3802.36116
919.00616,810,3803.420996
918.806,812,3803.923071
890.4816,1000,3804.732433
744.0423,1000,3804.52132
890.298,1000,3805.703189
878.95264,1000,3837.508847
775.71014,1000,3837.508948
889.8407,1000,3837.508959
694.43494,1000,3837.508965
865.04004,1000,3837.508969
921.20264,788,3845.6553
871.0675,1000,3848.110345
924.9004,751,3848.75261
920.6026,794,3916.694248
878.73285,1000,3917.250641
925.2003,748,3918.002448
881.9607,1000,3918.401344
875.7883,1000,3919.872413
924.1016,759,3921.500798
744.38684,1000,3923.442103
889.1806,1000,3923.979454
850.77527,1000,3924.037375
890.0083,1000,3924.667445
914.00684,860,3925.461003
913.70746,863,3954.281291
868.7586,1000,3954.813298
864.1772,1000,3955.05828
861.9483,1000,3956.148286
919.70575,803,3954.552052
925.70496,743,3954.793721
896.68115,1000,3955.309664
914.70685,853,3955.372123
884.03406,1000,3955.37222
869.6997,1000,3955.620476
884.50287,1000,3958.666988
912.20624,878,3958.838964
874.64764,1000,3959.536584
817.4364,1000,3960.627397
896.6656,1000,3961.179334
860.96875,1000,3961.242112
867.3985,1000,3962.474698
896.8848,1000,3992.991086
871.63684,1000,3993.563003
889.33514,1000,3996.212776
871.4382,1000,4036.160508
901.8125,982,4040.449764
924.5051,755,4040.942531
652.6574,1000,4041.33702
889.84174,1000,4041.337125
861.41156,1000,4041.337138
876.5484,1000,4041.337143
884.4486,1000,4075.04338
893.6803,1000,4077.450684
915.7029,843,4077.513017
852.3908,1000,4106.115194
877.7828,1000,4106.608231
924.6052,754,4107.00322
847.37445,1000,4107.272018
865.51965,1000,4107.633881
876.57526,1000,4110.566507
920.20044,798,4112.292551
886.01886,1000,4112.441611
868.0566,1000,4112.970614
860.44226,1000,4113.029055
866.7786,1000,4113.657756
789.32416,1000,4114.409735
785.3545,1000,4155.101502
883.6169,1000,4183.073916
852.5542,1000,4183.327628
912.7085,873,4183.744689
882.94604,1000,4184.457376
741.7623,1000,4184.87625
896.489,1000,4185.161488
912.7064,873,4185.406022
907.50824,925,4185.601725
893.3426,1000,4185.759165
879.38947,1000,4185.759269
884.97266,1000,4186.009605
929.50616,705,4186.433467
914.1014,859,4189.799458
880.2681,1000,4190.839626
339.16522,1000,4191.384431
878.0316,1000,4192.668499
911.2069,888,4193.976291
377.26892,1000,4222.184861
933.1059,669,4226.411856
926.3046,737,4227.195831
927.4042,726,4227.006364
486.43582,1000,4228.549479
896.49896,1000,4229.033351
581.82764,1000,4229.436454
883.22644,1000,4229.436539
893.1573,1000,4229.436549
880.4653,1000,4229.436555
921.5058,785,4299.712806
926.70557,733,4300.241571
934.2999,657,4300.484155
925.20557,748,4303.416355
911.20233,888,4304.005439
922.2055,778,4304.931627
902.8108,972,4307.108588
916.10315,839,4307.163964
921.20197,788,4334.177689
802.78235,1000,4334.633504
896.3575,1000,4335.398446
922.8057,772,4335.866951
918.10016,819,4336.29543
871.54224,1000,4340.60769
897.06604,1000,4341.802075
917.0047,830,4342.841299
896.4523,1000,4343.778766
542.1174,1000,4344.558824
896.16473,1000,4373.05959
901.8097,982,4373.115475
598.6856,1000,4373.469148
528.48303,1000,4373.699577
887.8486,1000,4374.22224
771.2892,1000,4374.222322
876.11926,1000,4374.429559
854.6986,1000,4374.810386
930.90344,691,4378.879325
881.06854,1000,4378.970302
889.5178,1000,4379.477414
862.83704,1000,4378.634184
924.8057,752,4410.481528
659.0844,1000,4410.724385
880.99646,1000,4412.655414
924.50476,755,4438.323456
453.5679,1000,4438.411613
889.4809,1000,4439.092475
923.0055,770,4439.452049
866.89386,1000,4438.951052
784.6433,954,4439.138571
871.25525,1000,4440.329075
771.2942,1000,4440.758187
872.6505,1000,4441.107281
889.55786,1000,4469.858448
827.3985,1000,4470.650079
879.0432,1000,4471.244617
927.8042,722,4472.10885
888.2015,1000,4472.253766
873.7938,1000,4474.506891
354.24365,1000,4474.55918
924.30176,757,4474.654235
529.6345,1000,4475.882902
915.105,849,4498.408172
739.2973,1000,4498.408295
922.20184,778,4498.85494
869.9099,1000,4499.158238
886.21246,1000,4499.612819
873.60315,1000,4500.021495
917.00226,830,4529.969503
927.0066,730,4531.516549
912.50165,875,4532.680777
896.42725,1000,4533.006948
929.5052,705,4533.343394
880.84033,1000,4535.207777
884.48114,1000,4538.458546
878.8829,1000,4560.240931
879.3181,1000,4560.241007
314.37885,1000,4560.559039
930.2028,698,4560.664387
881.7164,1000,4561.001134
882.2791,1000,4563.058941
884.7989,1000,4563.658637
927.9008,721,4564.093309
814.7646,1000,4564.930754
924.90234,751,4565.072682
921.30524,787,4565.276453
888.29346,1000,4566.038147
